"","X","price","lot_size","waterfront","age","land_value","construction","air_cond","fuel","heat","sewer","living_area","fireplaces","bathrooms","rooms"
"285",285,185000,0.95,0,16,40900,0,1,3,4,3,1585,1,1.5,4
"286",286,240000,0.67,0,8,72400,0,1,2,2,3,2290,1,3,9
"287",287,187900,0.4,0,32,30000,0,1,2,2,3,2464,1,2.5,9
"288",288,262000,0.29,0,5,29000,0,1,2,2,3,2549,1,2.5,12
"289",289,212500,0.35,0,6,36500,0,1,2,2,3,2316,1,2.5,7
"290",290,220000,0.37,0,18,43000,0,1,2,2,2,2600,1,2.5,8
"291",291,245000,0.53,0,15,65800,0,1,2,2,3,2677,1,2.5,10
"292",292,120000,0.06,0,19,16400,0,1,3,4,3,1479,0,1.5,4
"293",293,102500,0.15,0,16,18500,0,1,3,4,3,1138,0,1,7
"294",294,136000,0.27,0,24,18900,0,0,2,3,3,1576,0,2.5,4
"295",295,212500,0.43,0,10,52200,0,1,2,2,3,2084,1,2.5,9
"296",296,205900,0.06,0,26,35900,0,1,2,2,3,1726,1,2,8
"297",297,259900,1,0,2,49900,0,1,2,2,2,1851,2,2,4
"298",298,191500,0.46,0,30,27400,0,0,2,2,3,2310,1,2.5,12
"299",299,272500,0.03,0,0,56800,0,0,2,2,3,2930,1,2.5,12
"300",300,191500,0.88,0,33,35900,0,0,2,3,3,2576,1,2.5,10
"301",301,158000,0.55,0,36,30500,0,0,2,3,3,1664,1,2,8
"302",302,195000,1,0,24,46000,0,0,3,4,2,1237,0,1.5,3
"303",303,187500,0.43,0,29,31400,0,1,2,2,3,2662,1,2.5,9
"304",304,160000,0.45,0,35,32300,0,0,2,2,3,1575,1,1.5,7
"305",305,137500,0.1,0,12,18000,0,1,2,2,3,1566,0,1.5,7
"306",306,109900,0.09,0,16,17600,0,1,2,2,3,1326,1,1.5,4
"307",307,85000,0.09,0,18,17600,0,0,2,3,3,1480,0,1.5,8
"308",308,184350,0.59,0,0,38400,0,0,2,2,3,2161,1,2.5,11
"309",309,134500,0.16,0,10,18600,0,1,2,2,3,1352,1,1.5,3
"310",310,154900,0.51,0,33,34600,0,1,2,2,3,1648,0,1.5,8
"311",311,255000,0.46,0,25,60500,0,1,2,2,3,2936,1,3.5,12
"312",312,238600,0.46,0,1,36400,0,0,2,2,3,2404,1,2.5,10
"313",313,106000,0.42,0,36,30900,0,0,2,2,3,1738,0,1.5,9
"314",314,625000,0.45,0,14,119500,0,1,2,2,3,5228,4,4,12
"315",315,195000,0.55,0,34,30500,0,0,2,3,3,2576,1,2.5,12
"316",316,168500,0.44,0,34,31800,0,0,2,2,3,1586,1,1.5,7
"317",317,87000,0.06,0,19,16400,0,0,3,4,3,1480,0,1.5,5
"318",318,215000,0.5,0,15,37000,0,0,2,2,3,1917,1,2.5,7
"319",319,197500,0.3,0,30,24500,0,1,2,2,3,1938,1,1.5,9
"320",320,215000,0.33,0,3,11600,0,1,2,2,3,2110,1,2.5,8
"321",321,118000,0.14,0,19,18400,0,0,2,2,3,1479,0,1.5,5
"322",322,187900,0.69,0,34,34700,0,0,2,3,3,2576,1,2.5,9
"323",323,275000,0.38,0,18,60800,0,1,2,2,3,2445,2,2.5,9
"324",324,249900,0.74,0,14,73800,0,1,2,2,3,2185,1,2.5,7
"325",325,270000,0.38,0,18,82800,0,1,3,2,2,2078,1,2.5,8
"326",326,157900,0.38,0,37,29100,0,0,2,2,3,1674,1,1.5,5
"327",327,120000,0.29,0,19,20300,0,0,3,4,3,1228,0,1.5,9
"328",328,126400,0.28,0,22,19500,0,1,3,4,3,1375,1,1.5,7
"329",329,220000,0.54,0,16,30200,0,1,2,2,3,1650,1,2,5
"330",330,180000,0.26,0,31,21900,0,1,2,2,3,1718,1,1.5,9
"331",331,203600,0.59,0,33,31700,0,0,2,3,3,2576,1,2.5,9
"332",332,249900,0.37,0,4,37500,0,0,2,2,3,2280,1,2.5,7
"333",333,193000,0.4,0,18,25000,0,0,2,3,3,2088,1,2.5,10
"334",334,215000,0.5,0,15,37000,0,0,2,2,3,1917,1,2.5,9
"335",335,201000,0.54,0,29,30200,0,0,2,3,3,3140,1,3.5,10
"336",336,65000,0.22,0,73,6900,0,0,2,2,2,1029,0,1,4
"337",337,195000,0.35,0,36,39800,0,1,2,2,3,1896,1,2.5,7
"338",338,215900,0.52,0,38,29600,0,0,2,3,3,2310,1,2.5,9
"339",339,92000,0.31,0,17,19600,0,0,3,4,3,924,1,1,6
"340",340,155000,0.38,0,25,38000,0,1,2,4,3,2080,1,2.5,9
"341",341,123500,0.08,0,22,17200,0,1,3,4,3,1237,1,1.5,4
"342",342,110400,0.1,0,29,18000,0,1,2,2,3,1287,0,1.5,5
"343",343,198900,0.44,0,18,33200,0,0,2,3,3,1847,1,2.5,7
"344",344,150000,0.26,0,49,41900,0,1,2,2,2,1064,0,1,8
"345",345,104000,0.07,0,18,16800,0,1,2,2,3,1480,1,1.5,4
"346",346,245000,0.48,0,23,48500,0,1,2,2,3,2462,2,3.5,8
"347",347,180000,0.41,0,17,25400,0,0,2,3,3,2228,1,2.5,7
"348",348,154300,0.42,0,61,14700,0,0,2,3,2,1260,0,1,8
"349",349,170000,0.45,0,30,30000,0,0,2,2,3,1559,1,2.5,5
"350",350,219000,0.6,0,25,71000,0,1,2,2,3,1980,1,2.5,10
"351",351,295000,0.95,0,9,78000,0,0,2,2,2,2380,1,2.5,6
"352",352,181500,0.56,0,27,30800,0,0,2,3,3,1887,1,2.5,8
"353",353,260000,1.25,0,133,43500,0,0,2,3,2,2185,1,1.5,11
"354",354,239900,0.7,0,15,69400,0,1,3,4,3,2488,1,2.5,7
"355",355,135500,0.67,0,56,21100,0,0,2,2,2,1152,0,2,3
