Category,Item,Serve_Size,Energy,Protein,Total_Fat,Saturated_Fat,Trans_Fat,Cholestrol,Carbohydrates,Sugars,Dietary_Fibre,Sodium
Breakfast,"Bacon, Egg & Cheese McGriddles",174,460,19,21,9,0,250,48,15,2,1250
Breakfast,"Bacon, Egg & Cheese McGriddles with Egg Whites",178,400,20,15,7,0,35,47,16,2,1250
Breakfast,Sausage McGriddles,141,420,11,22,8,0,35,44,15,2,1030
Breakfast,"Sausage, Egg & Cheese McGriddles",201,550,20,31,12,0,265,48,15,2,1320
Breakfast,"Sausage, Egg & Cheese McGriddles with Egg Whites",205,500,21,26,10,0,50,46,15,2,1320
Breakfast,"Bacon, Egg & Cheese Bagel",197,620,30,31,11,0.5,275,57,7,3,1480
Breakfast,"Bacon, Egg & Cheese Bagel with Egg Whites",201,570,30,25,9,0.5,60,55,8,3,1480
Breakfast,"Steak, Egg & Cheese Bagel",241,670,33,35,13,1.5,295,56,7,3,1510
Breakfast,Big Breakfast (Regular Biscuit),269 g,740,28,48,17,0,555,51,3,3,1560
Breakfast,Big Breakfast (Large Biscuit),283,800,28,52,18,0,555,56,3,4,1680
Breakfast,Big Breakfast with Egg Whites (Regular Biscuit),272,640,26,37,14,0,35,50,3,3,1590
Breakfast,Big Breakfast with Egg Whites (Large Biscuit),286 g,690,26,41,14,0,35,55,4,4,1700
Breakfast,Big Breakfast with Hotcakes (Regular Biscuit),420,1090,36,56,19,0,575,111,17,6,2150
Breakfast,Big Breakfast with Hotcakes (Large Biscuit),434,1150,36,60,20,0,575,116,17,7,2260
Breakfast,Big Breakfast with Hotcakes and Egg Whites (Regular Biscuit),423 g,990,35,46,16,0,55,110,17,6,2170
Breakfast,Big Breakfast with Hotcakes and Egg Whites (Large Biscuit),437,1050,35,50,16,0,55,115,18,7,2290
Breakfast,Hotcakes,151,350,8,9,2,0,20,60,14,3,590
Breakfast,Hotcakes and Sausage,192,520,15,24,7,0,50,61,14,3,930
Breakfast,Sausage Burrito,111 g,300,12,16,7,0,115,26,2,1,790
Breakfast,Cinnamon Melts,114,460,6,19,9,0,15,66,32,3,370
Breakfast,Fruit & Maple Oatmeal,251,290,5,4,1.5,0,5,58,32,5,160
Breakfast,Fruit & Maple Oatmeal without Brown Sugar,251,260,5,4,1.5,0,5,49,18,5,115
Beef & Pork,Big Mac,211 g,530,24,27,10,1,85,47,9,3,960
Beef & Pork,Quarter Pounder with Cheese,202,520,30,26,12,1.5,95,41,10,3,1100
Beef & Pork,Quarter Pounder with Bacon & Cheese,227,600,37,29,13,1.5,105,48,12,3,1440
Beef & Pork,Quarter Pounder with Bacon Habanero Ranch,235,610,37,31,13,1.5,105,46,10,3,1180
Beef & Pork,Quarter Pounder Deluxe,244,540,29,27,11,1.5,85,45,9,3,960
Beef & Pork,Double Quarter Pounder with Cheese,283,750,48,43,19,2.5,160,42,10,3,1280
Beef & Pork,Hamburger,98,240,12,8,3,0,30,32,6,1,480
Beef & Pork,Cheeseburger,113,290,15,11,5,0.5,45,33,7,2,680
Beef & Pork,Double Cheeseburger,161,430,24,21,10,1,90,35,7,2,1040
Beef & Pork,Bacon Clubhouse Burger,270,720,39,40,15,1.5,115,51,14,4,1470
Beef & Pork,McDouble,147,380,22,17,8,1,75,34,7,2,840
Beef & Pork,Bacon McDouble,161,440,27,22,10,1,90,35,7,2,1110
Beef & Pork,Daily Double,190 g,430,22,22,9,1,80,34,7,2,760
Beef & Pork,Jalapeño Double,159,430,22,23,9,1,80,35,6,2,1030
Beef & Pork,McRib,208,500,22,26,10,0,70,44,11,3,980
Chicken & Fish,Premium Crispy Chicken Classic Sandwich,213,510,24,22,3.5,0,45,55,10,3,990
Chicken & Fish,Premium Grilled Chicken Classic Sandwich,200,350,28,9,2,0,65,42,8,3,820
Chicken & Fish,Premium Crispy Chicken Club Sandwich,249,670,36,33,9,0,85,58,11,3,1410
Chicken & Fish,Premium Grilled Chicken Club Sandwich,235,510,40,20,7,0,105,44,9,3,1250
Chicken & Fish,Premium Crispy Chicken Ranch BLT Sandwich,230,610,32,28,6,0,70,57,11,3,1400
Chicken & Fish,Premium Grilled Chicken Ranch BLT Sandwich,217,450,36,15,4.5,0,90,43,9,3,1230
Chicken & Fish,Bacon Clubhouse Crispy Chicken Sandwich,284 g,750,36,38,10,0.5,90,65,16,4,1720
Chicken & Fish,Bacon Clubhouse Grilled Chicken Sandwich,270,590,40,25,8,0,110,51,14,4,1560
Chicken & Fish,Southern Style Crispy Chicken Sandwich,160,430,21,19,3,0,45,43,7,2,910
Chicken & Fish,Bacon Cheddar McChicken,171,480,22,24,7,0,65,43,6,2,1260
Chicken & Fish,Bacon Buffalo Ranch McChicken,161,430,20,21,5,0,50,41,6,2,1260
Chicken & Fish,Buffalo Ranch McChicken,148,360,14,16,3,0,35,40,5,2,990
Chicken & Fish,Premium McWrap Chicken & Bacon (Crispy Chicken),316,630,32,32,9,0.5,80,56,7,3,1540
Chicken & Fish,Premium McWrap Chicken & Bacon (Grilled Chicken),302,480,36,19,7,0,95,42,6,3,1370
Chicken & Fish,Premium McWrap Chicken & Ranch (Crispy Chicken),310,610,27,31,8,0.5,65,56,8,3,1340
Chicken & Fish,Premium McWrap Chicken & Ranch (Grilled Chicken),297,450,30,18,6,0.5,80,42,6,3,1170
Chicken & Fish,Premium McWrap Southwest Chicken (Crispy Chicken),314,670,27,33,8,0.5,60,68,12,5,1480
Chicken & Fish,Premium McWrap Southwest Chicken (Grilled Chicken),318,520,31,20,6,0,80,55,10,5,1320
Chicken & Fish,Premium McWrap Chicken Sweet Chili (Crispy Chicken),304,540,23,23,4.5,0,50,61,14,3,1260
Chicken & Fish,Premium McWrap Chicken Sweet Chili (Grilled Chicken),291,380,27,10,3,0,65,47,12,3,1090
Chicken & Fish,Chicken McNuggets (4 piece),65,190,9,12,2,0,25,12,0,1,360
Chicken & Fish,Chicken McNuggets (6 piece),97,280,13,18,3,0,40,18,0,1,540
Chicken & Fish,Chicken McNuggets (10 piece),162,470,22,30,5,0,65,30,0,2,900
Chicken & Fish,Chicken McNuggets (20 piece),323,940,44,59,10,0,135,59,0,3,1800
Chicken & Fish,Chicken McNuggets (40 piece),646,1880,87,118,20,1,265,118,1,6,3600
Chicken & Fish,Filet-O-Fish,142,390,15,19,4,0,40,39,5,2,590
Salads,Premium Bacon Ranch Salad (without Chicken),223,140,9,7,3.5,0,25,10,4,3,300
Salads,Premium Bacon Ranch Salad with Crispy Chicken,255,380,25,21,6,0,70,22,5,2,860
Salads,Premium Bacon Ranch Salad with Grilled Chicken,241,220,29,8,4,0,85,8,4,2,690
Salads,Premium Southwest Salad (without Chicken),230,140,6,4.5,2,0,10,20,6,6,150
Salads,Premium Southwest Salad with Crispy Chicken,348,450,23,22,4.5,0,50,42,12,7,850
Salads,Premium Southwest Salad with Grilled Chicken,335,290,27,8,2.5,0,70,28,10,7,680
Snacks & Sides,Chipotle BBQ Snack Wrap (Crispy Chicken),130 g,340,14,15,4.5,0,30,37,8,1,780
Snacks & Sides,Chipotle BBQ Snack Wrap (Grilled Chicken),123,260,16,8,3.5,0,40,30,7,1,700
Snacks & Sides,Honey Mustard Snack Wrap (Crispy Chicken),123,330,14,15,4.5,0,35,34,3,1,730
Snacks & Sides,Honey Mustard Snack Wrap (Grilled Chicken),116,250,16,8,3.5,0,45,27,2,1,650
Snacks & Sides,Ranch Snack Wrap (Crispy Chicken),128,360,15,20,5,0,40,32,3,1,810
Snacks & Sides,Ranch Snack Wrap (Grilled Chicken),121 g,280,16,13,4.5,0,45,25,2,1,720
Snacks & Sides,Small French Fries,75,230,2,11,1.5,0,0,30,0,2,130
Snacks & Sides,Medium French Fries,111,340,4,16,2.5,0,0,44,0,4,190
Snacks & Sides,Large French Fries,168,510,6,24,3.5,0,0,67,0,5,290
Snacks & Sides,Kids French Fries,38 g,110,1,5,1,0,0,15,0,1,65
Snacks & Sides,Side Salad,87,20,1,0,0,0,0,4,2,1,10
Snacks & Sides,Apple Slices,34,15,0,0,0,0,0,4,3,0,0
Snacks & Sides,Fruit 'n Yogurt Parfait,149,150,4,2,1,0,5,30,23,1,70
Desserts,Baked Apple Pie,77,250,2,13,7,0,0,32,13,4,170
Desserts,Chocolate Chip Cookie,33 g,160,2,8,3.5,0,10,21,15,1,90
Desserts,Oatmeal Raisin Cookie,33,150,2,6,2.5,0,10,22,13,1,135
Desserts,Kids Ice Cream Cone,29,45,1,1.5,1,0,5,7,6,0,20
Desserts,Hot Fudge Sundae,179,330,8,9,7,0,25,53,48,1,170
Desserts,Hot Caramel Sundae,182,340,7,8,5,0,30,60,43,0,150
Desserts,Strawberry Sundae,178,280,6,6,4,0,25,49,45,0,85
Cold Beverages,Coca-Cola Classic (Small),453,140,0,0,0,0,0,39,39,0,0
Cold Beverages,Coca-Cola Classic (Medium),595,200,0,0,0,0,0,55,55,0,5
Cold Beverages,Coca-Cola Classic (Large),850,280,0,0,0,0,0,76,76,0,5
Cold Beverages,Coca-Cola Classic (Child),340,100,0,0,0,0,0,28,28,0,0
Cold Beverages,Diet Coke (Small),453,0,0,0,0,0,0,0,0,0,10
Cold Beverages,Diet Coke (Medium),595,0,0,0,0,0,0,0,0,0,20
Cold Beverages,Diet Coke (Large),850,0,0,0,0,0,0,0,0,0,35
Cold Beverages,Diet Coke (Child),340,0,0,0,0,0,0,0,0,0,15
Cold Beverages,Dr Pepper (Small),453,140,0,0,0,0,0,37,35,0,45
Cold Beverages,Dr Pepper (Medium),595,190,0,0,0,0,0,53,51,0,65
Cold Beverages,Dr Pepper (Large),850,270,0,0,0,0,0,72,70,0,90
Cold Beverages,Dr Pepper (Child),340,100,0,0,0,0,0,27,26,0,30
Cold Beverages,Diet Dr Pepper (Small),453,0,2,0,0,0,0,0,0,0,70
Cold Beverages,Diet Dr Pepper (Medium),595,0,3,0,0,0,0,0,0,0,100
Cold Beverages,Diet Dr Pepper (Large),850,0,4,0,0,0,0,0,0,0,140
Cold Beverages,Diet Dr Pepper (Child),340,0,1,0,0,0,0,0,0,0,50
Cold Beverages,Sprite (Small),453 g,140,0,0,0,0,0,37,37,0,30
Cold Beverages,Sprite (Medium),595,200,0,0,0,0,0,54,54,0,45
Cold Beverages,Sprite (Large),850,280,0,0,0,0,0,74,74,0,60
Cold Beverages,Sprite (Child),340,100,0,0,0,0,0,27,27,0,25
Cold Beverages,1% Low Fat Milk Jug,236,100,8,2.5,1.5,0,10,12,12,0,125
Cold Beverages,Fat Free Chocolate Milk Jug,236,130,9,0,0,0,5,23,22,1,135
Cold Beverages,Minute Maid 100% Apple Juice Box,170,80,0,0,0,0,0,21,19,0,15
Cold Beverages,Minute Maid Orange Juice (Small),340,150,2,0,0,0,0,34,30,0,0
Cold Beverages,Minute Maid Orange Juice (Medium),453,190,3,0,0,0,0,44,39,0,0
Cold Beverages,Minute Maid Orange Juice (Large),623,280,4,0,0,0,0,65,58,0,5
Cold Beverages,Dasani Water Bottle,479,0,0,0,0,0,0,0,0,0,0
Hot Beverages,Iced Tea (Small),453,0,0,0,0,0,0,0,0,0,10
Hot Beverages,Iced Tea (Medium),595,0,0,0,0,0,0,0,0,0,10
Hot Beverages,Iced Tea (Large),850,0,0,0,0,0,0,0,0,0,15
Hot Beverages,Iced Tea (Child),340,0,0,0,0,0,0,0,0,0,5
Hot Beverages,Sweet Tea (Small),453,150,1,0,0,0,0,36,36,0,10
Hot Beverages,Sweet Tea (Medium),595 g,180,1,0,0,0,0,45,45,0,10
Hot Beverages,Sweet Tea (Large),850,220,1,0,0,0,0,54,54,0,10
Hot Beverages,Sweet Tea (Child),340,110,0,0,0,0,0,27,27,0,5
Hot Beverages,Coffee (Small),340,0,0,0,0,0,0,0,0,0,0
Hot Beverages,Coffee (Medium),453,0,0,0,0,0,0,0,0,0,0
Hot Beverages,Coffee (Large),453,0,0,0,0,0,0,0,0,0,0
Hot Beverages,Latte (Small),340,170,9,9,5,0,25,15,12,1,115
Hot Beverages,Latte (Medium),453,210,11,10,6,0,30,18,15,1,140
Hot Beverages,Latte (Large),566,280,15,14,8,0,40,24,20,1,180
Hot Beverages,Caramel Latte (Small),340,270,9,9,5,0,25,40,38,1,115
Hot Beverages,Caramel Latte (Medium),453,340,11,10,6,0,30,50,48,1,140
Hot Beverages,Caramel Latte (Large),566,430,15,14,8,0,40,62,59,1,180
Hot Beverages,Hazelnut Latte (Small),340,270,9,9,5,0,25,40,38,1,115
Hot Beverages,Hazelnut Latte (Medium),453,330,11,10,6,0,30,50,47,1,140
Hot Beverages,Hazelnut Latte (Large),566,430,15,14,8,0,40,62,58,1,180
Hot Beverages,French Vanilla Latte (Small),340,260,9,9,5,0,25,38,36,1,115
Hot Beverages,French Vanilla Latte (Medium),453,330,11,10,6,0,30,48,45,1,140
Hot Beverages,French Vanilla Latte (Large),566,420,15,14,8,0,40,60,56,1,190
Hot Beverages,Latte with Sugar Free French Vanilla Syrup (Small),340,210,9,9,5,0,25,24,12,1,150
Hot Beverages,Latte with Sugar Free French Vanilla Syrup (Medium),453,260,12,10,6,0,30,29,15,1,190
Hot Beverages,Latte with Sugar Free French Vanilla Syrup (Large),566 g,330,15,14,8,0,40,37,20,2,240
Hot Beverages,Nonfat Latte (Small),340,100,10,0,0,0,5,15,13,1,110
Hot Beverages,Nonfat Latte (Medium),453 g,130,12,0,0,0,5,19,16,1,135
Hot Beverages,Nonfat Latte (Large),566,170,16,0.5,0,0,10,25,21,1,180
Hot Beverages,Nonfat Caramel Latte (Small),340,200,10,0,0,0,5,41,39,1,110
Hot Beverages,Nonfat Caramel Latte (Medium),453,250,12,0,0,0,5,51,48,1,135
Hot Beverages,Nonfat Caramel Latte (Large),566 g,310,16,0.5,0,0,10,63,59,1,180
Hot Beverages,Nonfat Hazelnut Latte (Small),340,200,10,0,0,0,5,40,38,1,110
Hot Beverages,Nonfat Hazelnut Latte (Medium),453,250,12,0,0,0,5,51,48,1,135
Hot Beverages,Nonfat Hazelnut Latte (Large),566,310,16,0.5,0,0,10,63,59,1,180
Hot Beverages,Nonfat French Vanilla Latte (Small),340,190,10,0,0,0,5,39,37,1,115
Hot Beverages,Nonfat French Vanilla Latte (Medium),453,240,12,0,0,0,5,49,46,1,140
Hot Beverages,Nonfat French Vanilla Latte (Large),566,300,16,0.5,0,0,10,60,56,1,180
Hot Beverages,Nonfat Latte with Sugar Free French Vanilla Syrup (Small),340,140,10,0,0,0,5,24,13,1,150
Hot Beverages,Nonfat Latte with Sugar Free French Vanilla Syrup (Medium),453,170,12,0,0,0,5,30,16,1,180
Hot Beverages,Nonfat Latte with Sugar Free French Vanilla Syrup (Large),566,220,16,0.5,0,0,10,38,21,2,240
Hot Beverages,Mocha (Small),340,340,10,11,7,0,35,49,42,2,150
Hot Beverages,Mocha (Medium),453,410,13,14,8,0,40,60,53,2,190
Hot Beverages,Mocha (Large),566 g,500,16,17,10,0.5,50,72,63,2,240
Hot Beverages,Mocha with Nonfat Milk (Small),340,270,11,3.5,2,0,15,49,43,2,150
Hot Beverages,Mocha with Nonfat Milk (Medium),453,330,13,3.5,2,0,15,60,53,2,190
Hot Beverages,Mocha with Nonfat Milk (Large),566,390,17,4,2.5,0,20,73,64,2,240
Hot Beverages,Caramel Mocha (Small),340,320,10,11,7,0,35,45,40,1,170
Hot Beverages,Caramel Mocha (Medium),453 g,390,12,14,8,0.5,40,55,50,1,220
Hot Beverages,Caramel Mocha (Large),566,480,16,17,10,0.5,50,66,60,1,270
Hot Beverages,Nonfat Caramel Mocha (Small),340 g,250,10,3.5,2,0,15,45,41,1,170
Hot Beverages,Nonfat Caramel Mocha (Medium),453,310,13,3.5,2,0,15,56,51,1,210
Hot Beverages,Nonfat Caramel Mocha (Large),566 g,370,17,3.5,2.5,0,20,67,61,1,270
Hot Beverages,Hot Chocolate (Small),340 g,360,11,13,8,0,40,50,45,1,180
Hot Beverages,Hot Chocolate (Medium),453,440,14,16,9,0.5,50,61,56,1,220
Hot Beverages,Hot Chocolate (Large),566,540,17,20,12,0.5,60,73,68,1,280
Hot Beverages,Hot Chocolate with Nonfat Milk (Small),340,280,12,3.5,2,0,15,50,46,1,180
Hot Beverages,Hot Chocolate with Nonfat Milk (Medium),453 g,340,14,3.5,2,0,15,61,57,1,220
Hot Beverages,Hot Chocolate with Nonfat Milk (Large),566,400,19,3.5,2.5,0,20,74,69,1,280
Hot Beverages,Regular Iced Coffee (Small),453 g,140,1,4.5,3,0,15,23,22,0,35
Hot Beverages,Regular Iced Coffee (Medium),623,190,1,7,4.5,0,25,31,30,0,50
Hot Beverages,Regular Iced Coffee (Large),907,270,2,9,6,0,35,47,45,0,75
Hot Beverages,Caramel Iced Coffee (Small),453,130,1,4.5,3,0,15,22,21,0,35
Hot Beverages,Caramel Iced Coffee (Medium),623,180,1,7,4.5,0,25,29,28,0,50
Hot Beverages,Caramel Iced Coffee (Large),907,260,2,9,6,0,35,43,42,0,65
Hot Beverages,Hazelnut Iced Coffee (Small),453,130,1,4.5,3,0,15,21,20,0,35
Hot Beverages,Hazelnut Iced Coffee (Medium),623,180,1,7,4.5,0,25,29,28,0,50
Hot Beverages,Hazelnut Iced Coffee (Large),907,250,2,9,6,0,35,43,41,0,75
Hot Beverages,French Vanilla Iced Coffee (Small),453,120,1,4.5,3,0,15,20,19,0,40
Hot Beverages,French Vanilla Iced Coffee (Medium),623,170,1,7,4.5,0,25,27,26,0,55
Hot Beverages,French Vanilla Iced Coffee (Large),907 g,240,2,9,6,0,35,41,39,0,80
Hot Beverages,Iced Coffee with Sugar Free French Vanilla Syrup (Small),453,80,1,4.5,3,0,15,9,1,0,65
Hot Beverages,Iced Coffee with Sugar Free French Vanilla Syrup (Medium),623,120,1,7,4.5,0,25,12,2,0,90
Hot Beverages,Iced Coffee with Sugar Free French Vanilla Syrup (Large),907,160,2,9,6,0,35,18,2,0,135
Hot Beverages,Iced Mocha (Small),340,290,8,11,7,0,35,41,34,1,125
Hot Beverages,Iced Mocha (Medium),453 g,350,9,13,8,0,40,50,43,1,150
Hot Beverages,Iced Mocha (Large),623 g,480,14,16,10,0.5,50,70,62,2,220
Hot Beverages,Iced Mocha with Nonfat Milk (Small),340 g,240,8,5,3,0,20,41,35,1,125
Hot Beverages,Iced Mocha with Nonfat Milk (Medium),453,290,10,5,3.5,0,20,50,43,1,150
Hot Beverages,Iced Mocha with Nonfat Milk (Large),623 g,390,14,6,3.5,0,25,71,62,2,220
Hot Beverages,Iced Caramel Mocha (Small),340,280,8,11,7,0,35,38,33,0,140
